device_id,visit_id,platform,video_seconds_spent
3292408776137091365:4611687202227749313,3292408776137091365:4611687202227749313:00000021,OTT,97
3278534595105862127:6917530477729599397,3278534595105862127:6917530477729599397:00000009,OTT,97
3292404423187742647:6917530222715733266,3292404423187742647:6917530222715733266:00000004,OTT,97
3292264587642512055:6917530222715737098,3292264587642512055:6917530222715737098:00000004,OTT,97
4695433770629929025:1434506310842261732,4695433770629929025:1434506310842261732:00000003,OTT,97
3292437696299392595:6917530152922514317,3292437696299392595:6917530152922514317:00000003,OTT,97
3292433586015371709:6917548398480466352,3292433586015371709:6917548398480466352:00000003,OTT,97
3292202160292583684:4611705344706490647,3292202160292583684:4611705344706490647:00000004,OTT,97
3291289915681653639:4611687171089251784,3291289915681653639:4611687171089251784:00000005,OTT,97
3292455213323209982:4611705375308122538,3292455213323209982:4611705375308122538:00000003,OTT,97
3292465727403436164:4611687213502058943,3292465727403436164:4611687213502058943:00000002,OTT,98
3266789315543510991:6917548271779036003,3266789315543510991:6917548271779036003:00000022,OTT,98
3292408690237746925:4611687214038913133,3292408690237746925:4611687214038913133:00000002,OTT,98
3292409383874974964:6917530223789475367,3292409383874974964:6917530223789475367:00000003,OTT,98
3292299892273401856:4611705335042807336,3292299892273401856:4611705335042807336:00000004,OTT,98
3292461791065925767:6917530192114096317,3292461791065925767:6917530192114096317:00000002,OTT,98
3292269894074617596:4611687182900398558,3292269894074617596:4611687182900398558:00000003,OTT,98
3292411501293552962:6917548306675540637,3292411501293552962:6917548306675540637:00000002,OTT,98
3292448588336159556:6917548398480457794,3292448588336159556:6917548398480457794:00000002,OTT,98
3292441503787899869:6917530216273284866,3292441503787899869:6917530216273284866:00000002,OTT,98
809301605054370570:661355185024828544,809301605054370570:661355185024828544:00000004,OTT,98
3292388727229475402:6917548353920180780,3292388727229475402:6917548353920180780:00000003,OTT,98
3292361529349358970:6917530180302934197,3292361529349358970:6917530180302934197:00000003,OTT,98
3292408926460954160:4611687182900400902,3292408926460954160:4611687182900400902:00000005,OTT,98
3292401502609989754:6917530222715741961,3292401502609989754:6917530222715741961:00000002,OTT,98
3292381681335615399:6917548301843696911,3292381681335615399:6917548301843696911:00000004,OTT,98
3292195829511076655:6917530192114095722,3292195829511076655:6917530192114095722:00000004,OTT,98
3292444374973222150:4611705268470812989,3292444374973222150:4611705268470812989:00000003,OTT,98
3292401023721143924:4611687212965173564,3292401023721143924:4611687212965173564:00000002,OTT,98
3274454333223593849:4611687205449144503,3274454333223593849:4611687205449144503:00000009,OTT,98
3292458760966501377:4611687212965207064,3292458760966501377:4611687212965207064:00000002,OTT,98
3292370950359821453:6917548279295119438,3292370950359821453:6917548279295119438:00000004,OTT,98
3292260281937801303:6917530181376673266,3292260281937801303:6917530181376673266:00000004,OTT,98
3281471489446497948:4611687164109927817,3281471489446497948:4611687164109927817:00000004,OTT,99
3292396775998474955:4611687213502052589,3292396775998474955:4611687213502052589:00000003,OTT,99
3278537404014461190:4611687200618580100,3278537404014461190:4611687200618580100:00000013,OTT,99
3292442169507544853:6917548401701689279,3292442169507544853:6917548401701689279:00000002,OTT,99
3278636712248291978:6917530209837051145,3278636712248291978:6917530209837051145:00000009,OTT,99
3265855132241037498:6917530477733615429,3265855132241037498:6917530477733615429:00000010,OTT,99
9212712078235444440:4672079650344160828,9212712078235444440:4672079650344160828:00000005,OTT,99
3200625391594980590:6917556554623439077,3200625391594980590:6917556554623439077:00000001,OTT,99
3292434558825779630:6917530223789482660,3292434558825779630:6917530223789482660:00000004,OTT,99
3292448599073857690:4611687143708839675,3292448599073857690:4611687143708839675:00000003,OTT,99
3292413202100908494:6917530170639259024,3292413202100908494:6917530170639259024:00000002,OTT,99
3292407867751510792:6917530180302937877,3292407867751510792:6917530180302937877:00000003,OTT,99
3292401008688457822:6917548382374334022,3292401008688457822:6917548382374334022:00000003,OTT,99
3292442068576097558:6917530204462125938,3292442068576097558:6917530204462125938:00000002,OTT,99
3292236270922840841:6917548279295120430,3292236270922840841:6917548279295120430:00000004,OTT,99
3278672521538122681:4611713580843235792,3278672521538122681:4611713580843235792:00000024,OTT,99
3292357565094545595:6917530192114106289,3292357565094545595:6917530192114106289:00000003,OTT,99
3291896504650294204:4611687212965180175,3291896504650294204:4611687212965180175:00000004,OTT,99
3292424119907767667:6917530222178861448,3292424119907767667:6917530222178861448:00000004,OTT,99
3256467955082133902:4611713514273140919,3256467955082133902:4611713514273140919:00000003,OTT,99
3292413418996748924:6917530181376680455,3292413418996748924:6917530181376680455:00000002,OTT,99
3256803269619981164:4611687227460707000,3256803269619981164:4611687227460707000:00000003,OTT,99
3292446191744711821:6917530170102385245,3292446191744711821:6917530170102385245:00000002,OTT,100
3292385643442943978:4611705295314356103,3292385643442943978:4611705295314356103:00000003,OTT,100
3291930434891640496:4611705319473561001,3291930434891640496:4611705319473561001:00000006,OTT,100
3279781995341141441:4611687199006637429,3279781995341141441:4611687199006637429:00000004,OTT,100
3292453370782527387:6917530204462125926,3292453370782527387:6917530204462125926:00000002,OTT,100
3292391463123642620:4611705376382081815,3292391463123642620:4611705376382081815:00000003,OTT,100
7237901889327483192:1833635342304033530,7237901889327483192:1833635342304033530:00000008,OTT,100
3277769607743352862:6917556569121226588,3277769607743352862:6917556569121226588:00000021,OTT,100
3278850816367991523:4611687554952528603,3278850816367991523:4611687554952528603:00000008,OTT,100
3292454051534840658:4611687214575794353,3292454051534840658:4611687214575794353:00000002,OTT,100
3292430452837041355:4611687214038910443,3292430452837041355:4611687214038910443:00000002,OTT,100
3292367303932584791:6917548277684513421,3292367303932584791:6917548277684513421:00000003,OTT,100
3255486548611139695:6917530200704492821,3255486548611139695:6917530200704492821:00000011,OTT,100
3199303014112791240:4611687148541730921,3199303014112791240:4611687148541730921:00000006,OTT,100
3232123730407175901:6917530228621499541,3232123730407175901:6917530228621499541:00000002,OTT,100
3292256918978418786:6917530160975584458,3292256918978418786:6917530160975584458:00000006,OTT,100
3292451122367136714:4611687219944491040,3292451122367136714:4611687219944491040:00000002,OTT,100
3232058670242571344:4611687183437270473,3232058670242571344:4611687183437270473:00000003,OTT,100
3292444587574406991:6917530152922514214,3292444587574406991:6917530152922514214:00000002,OTT,100
3292360537211604985:4611705339874697883,3292360537211604985:4611705339874697883:00000003,OTT,100
3256797832191390524:6917530180839809265,3256797832191390524:6917530180839809265:00000003,OTT,101
